economy,year,new_displacements
PRY,2019,54320
PRY,2020,5
PRY,2023,16160
PRY,2024,8543
PSE,2010,500
PSE,2012,1200
PSE,2013,10650
PSE,2014,200
PSE,2015,10000
PSE,2016,510
PSE,2017,77
PSE,2019,2
PSE,2020,102
PSE,2022,250
PYF,2010,3500
PYF,2017,1100
PYF,2019,30
PYF,2020,27
PYF,2022,17
PYF,2024,21
REU,2021,14
REU,2023,80
REU,2024,700
ROU,2014,2240
ROU,2015,160
ROU,2016,1480
ROU,2018,1210
ROU,2019,460
ROU,2020,285
ROU,2021,416
ROU,2022,160
ROU,2023,51
ROU,2024,6502
RUS,2010,22400
RUS,2011,3500
RUS,2012,31830
RUS,2013,29410
RUS,2014,23310
RUS,2015,6600
RUS,2016,3631
RUS,2017,7080
RUS,2018,3569
RUS,2019,11721
RUS,2020,243
RUS,2021,5550
RUS,2022,2707
RUS,2023,14862
RUS,2024,43737
RWA,2010,5900
RWA,2011,1900
RWA,2012,3200
RWA,2013,1030
RWA,2015,2010
RWA,2016,9700
RWA,2017,5005
RWA,2018,47000
RWA,2019,11506
RWA,2020,5960
RWA,2021,1628
RWA,2022,7780
RWA,2023,69000
RWA,2024,58215
SAU,2011,8200
SAU,2013,4700
SAU,2016,280
SAU,2017,100
SAU,2018,2045
SAU,2019,423
SAU,2020,606
SDN,2010,20000
SDN,2011,19000
SDN,2012,84000
SDN,2013,284000
SDN,2014,187000
SDN,2015,8300
SDN,2016,123000
SDN,2017,53800
SDN,2018,121000
SDN,2019,272000
SDN,2020,454000
SDN,2021,98330
SDN,2022,104700
SDN,2023,57570
SDN,2024,199215
SEN,2010,7800
SEN,2011,1600
SEN,2012,20000
SEN,2013,13000
SEN,2016,24000
SEN,2017,630
SEN,2018,2
SEN,2019,4440
SEN,2020,3300
SEN,2021,1322
SEN,2022,12000
SEN,2024,56560
SLB,2010,5000
SLB,2012,1047
SLB,2014,9000
SLB,2015,1000
SLB,2017,580
SLB,2018,1055
SLB,2019,31
SLB,2020,321
SLB,2023,640
SLE,2013,8500
SLE,2017,12000
SLE,2019,5300
SLE,2022,800
SLE,2024,1130
SLV,2010,16000
SLV,2011,60000
SLV,2015,2000
SLV,2016,478
SLV,2017,390
SLV,2018,2108
SLV,2019,1927
SLV,2020,16494
SLV,2021,551
SLV,2022,4610
SLV,2023,1700
SLV,2024,5189
SOM,2010,5200
SOM,2012,28000
