economy,year,agri_gdp_share,rural_pop_share,gdp_per_capita,total_population,new_displacements,disp_per_100k,agri_gdp_share_lag1,rural_pop_share_lag1,gdp_per_capita_lag1,disp_per_100k_lag1,disp_risk_hist_3yr,log_gdp_per_capita_lag1,log_disp_per_100k,high_displacement_alert
TTO,2011,0.456542570355529,46.0746384525273,19151.0870229722,1328019.0,0.0,0.0,0.52014610527508,45.9100434036413,16815.424737361,0.0,0.0,9.730111350728357,0.0,0
TTO,2012,0.623861527345923,46.0745946568382,20332.1389531925,1335194.0,0.0,0.0,0.456542570355529,46.0746384525273,19151.0870229722,0.0,0.0,9.860166971593415,0.0,0
TTO,2013,0.712770738302384,46.0744210036628,21304.9777496628,1340557.0,29.0,2.1632798903739268,0.623861527345923,46.0745946568382,20332.1389531925,0.0,0.0,9.920007294762588,1.1516094293032975,0
TTO,2014,0.668563339608001,46.0740300462207,21908.3014555644,1345343.0,0.0,0.0,0.712770738302384,46.0744210036628,21304.9777496628,2.1632798903739268,0.721093296791309,9.966742957848004,0.0,0
TTO,2015,0.922053426020572,46.073334761978,19887.2327716498,1349667.0,0.0,0.0,0.668563339608001,46.0740300462207,21908.3014555644,0.0,0.721093296791309,9.99466654963326,0.0,0
TTO,2016,0.992434424479726,46.0722476915049,17449.1538801956,1353895.0,0.0,0.0,0.922053426020572,46.073334761978,19887.2327716498,0.0,0.721093296791309,9.897883517807593,0.0,0
TTO,2017,1.08634326162954,46.0706813166167,17566.0999700656,1356633.0,200.0,14.742380584874466,0.992434424479726,46.0722476915049,17449.1538801956,0.0,0.0,9.767103745941009,2.7563564758271033,0
TTO,2018,0.964517699370851,46.0685481065093,17571.498737278,1359193.0,820.0,60.32991635477816,1.08634326162954,46.0706813166167,17566.0999700656,14.742380584874466,4.914126861624822,9.77378311178478,4.116267755782049,0
TTO,2019,0.765052940992269,46.0657605267261,17212.6128892163,1363985.0,48.0,3.519100283360887,0.964517699370851,46.0685481065093,17571.498737278,60.32991635477816,25.02409897988421,9.774090387192212,1.5083129216768045,0
TTO,2020,1.06202921275842,46.0622310415194,15283.6270531554,1366725.0,33.0,2.414531087087746,0.765052940992269,46.0657605267261,17212.6128892163,3.519100283360887,26.197132407671173,9.753455796819942,1.228040173810933,0
TTO,2021,0.908362622380658,46.0578721146152,17712.5674104655,1367558.0,0.0,0.0,1.06202921275842,46.0622310415194,15283.6270531554,2.414531087087746,22.087849241742266,9.634602834495393,0.0,0
TTO,2022,0.762815650228413,46.0525962095002,20750.5202434652,1365805.0,40.0,2.9286757626454727,0.908362622380658,46.0578721146152,17712.5674104655,0.0,1.9778771234828778,9.782086145300505,1.3683024130288632,0
TTO,2023,0.835855107201165,46.0463157895428,18308.4536298575,1367510.0,0.0,0.0,0.762815650228413,46.0525962095002,20750.5202434652,2.9286757626454727,1.781068949911073,9.940374787720424,0.0,0
TUN,2011,7.57684450427472,33.0808113802143,4420.64772206537,10886035.0,0.0,0.0,6.846146170059,33.3719940185547,4291.86120891575,0.0,0.0,8.364708738075986,0.0,0
TUN,2012,8.30025725587419,32.7901077270508,4297.26782454273,11009647.0,0.0,0.0,7.57684450427472,33.0808113802143,4420.64772206537,0.0,0.0,8.394267693401233,0.0,0
TUN,2013,7.96930864809374,32.5000457763672,4369.79345826358,11141361.0,0.0,0.0,8.30025725587419,32.7901077270508,4297.26782454273,0.0,0.0,8.365967389021558,0.0,0
TUN,2014,8.57165956609159,32.2475356620899,4458.97895464547,11274288.0,0.0,0.0,7.96930864809374,32.5000457763672,4369.79345826358,0.0,0.0,8.382699841004609,0.0,0
TUN,2015,9.20589918732503,32.1192092895508,4014.94773686432,11402264.0,120.0,1.0524225715173758,8.57165956609159,32.2475356620899,4458.97895464547,0.0,0.0,8.402899326313621,0.7190208376462166,0
TUN,2016,8.52541115305462,31.9376643471752,3847.80354448809,11528674.0,0.0,0.0,9.20589918732503,32.1192092895508,4014.94773686432,1.0524225715173758,0.3508075238391253,8.298028647557881,0.0,0
